iter	Accuracy	MultiClass
0	0.4431959444	1.77450213
1	0.4939787	1.756173044
2	0.567359823	1.736175512
3	0.5768697057	1.718095767
4	0.6026995403	1.701902018
5	0.6178384956	1.685032809
6	0.6194705059	1.667769439
7	0.6343295986	1.652413732
8	0.6381881612	1.637780532
9	0.6552146898	1.624341561
10	0.653179654	1.608352704
11	0.6683962024	1.593683305
12	0.6668199823	1.578967823
13	0.676544073	1.565092239
14	0.6813896132	1.552163246
15	0.6855333343	1.539706171
16	0.6928288683	1.523745238
17	0.7063176925	1.509765791
18	0.7013001977	1.498166553
19	0.70180557	1.488574918
20	0.6970234493	1.480842402
21	0.7099943414	1.469822929
22	0.710728184	1.456141469
23	0.719049623	1.44402025
24	0.7180127722	1.434788581
25	0.725761832	1.427217699
26	0.7211506791	1.417817877
27	0.7300088867	1.407396943
28	0.7260486931	1.395995972
29	0.7296744822	1.38503497
30	0.7313996057	1.375774845
31	0.7301577902	1.363222109
32	0.7408301927	1.353600509
33	0.7439496227	1.343104858
34	0.742990365	1.333026247
35	0.7379728702	1.325554101
36	0.7464441995	1.315773819
37	0.7497270661	1.307917871
38	0.7503314688	1.299749713
39	0.7530174639	1.292965702
40	0.752347041	1.282898043
41	0.7508368412	1.275676562
42	0.7529184336	1.267937757
43	0.7528659598	1.261093085
44	0.7619416918	1.251854453
45	0.7735654612	1.24314376
46	0.7721932191	1.235789155
47	0.7732835305	1.229917617
48	0.7742553478	1.222476113
49	0.7752271652	1.214935739
50	0.7797917615	1.207402199
51	0.782693667	1.201060497
52	0.7837839784	1.193681689
53	0.7842368769	1.187505073
54	0.7862329854	1.179109671
55	0.7852611681	1.172523032
56	0.7872902867	1.166947092
57	0.786804378	1.162241192
58	0.7878092055	1.157029556
59	0.7888665067	1.149635785
60	0.7887674763	1.143751852
61	0.7874748009	1.137479557
62	0.788380598	1.131236149
63	0.7884136082	1.124775639
64	0.7884466183	1.120472011
65	0.7893854255	1.114817413
66	0.7912960501	1.107945839
67	0.7919004528	1.102319612
68	0.7923533513	1.09735395
69	0.7943824699	1.090818952
70	0.7949868726	1.085741211
71	0.7939295714	1.081614496
72	0.7939625815	1.076021631
73	0.7938965612	1.070992981
74	0.795288267	1.064924296
75	0.7957741757	1.05995106
76	0.796864487	1.05504377
77	0.7973503957	1.05138784
78	0.7953212771	1.046176377
79	0.7974824362	1.040797778
80	0.797416416	1.036167754
81	0.797416416	1.032167125
82	0.797416416	1.027597064
83	0.7993270405	1.023066361
84	0.7993270405	1.018492257
85	0.802899369	1.013678935
86	0.8044425789	1.008945013
87	0.8124610097	1.004418602
88	0.8129469184	1.000630291
89	0.8114037085	0.9973183878
90	0.8063532035	0.9940383715
91	0.8118896171	0.9905726542
92	0.8093541394	0.9869700979
93	0.8093211293	0.9826019714
94	0.8154619456	0.9779070023
95	0.816315269	0.9738865019
96	0.8128079739	0.9694458466
97	0.8128079739	0.9654983578
98	0.8107788553	0.960656614
99	0.8126894799	0.9586967378
100	0.813595277	0.9554705521
101	0.8131423784	0.9518564026
102	0.8207409208	0.9480522236
103	0.8192831948	0.9448650379
104	0.8202550121	0.941205035
105	0.8227370292	0.9371977925
106	0.8211608092	0.9331446881
107	0.8211938193	0.9294038114
108	0.8257049551	0.9271353244
109	0.827248165	0.9239414202
110	0.8271626811	0.9200508549
111	0.8297107184	0.9180032673
112	0.8245417195	0.9142252772
113	0.8255135368	0.910741131
114	0.8255135368	0.9072510721
115	0.8259994455	0.9052061434
116	0.8275426554	0.90236572
117	0.8280285641	0.8995368538
118	0.8300246725	0.8961116407
119	0.829571774	0.8937783602
120	0.8275096453	0.8903584942
121	0.8284484525	0.8871670358
122	0.8270237366	0.884937347
123	0.8295057537	0.8823438959
124	0.8360139847	0.8795836307
125	0.8295057537	0.8770327243
126	0.8345562587	0.8739177908
127	0.8345562587	0.8706020307
128	0.837071286	0.867387011
129	0.8371042961	0.8651930329
130	0.8361654889	0.861488931
131	0.8376232149	0.8587383
132	0.8380761134	0.8561594442
133	0.8380761134	0.8545185933
134	0.8380761134	0.8515591705
135	0.837656225	0.8489877362
136	0.8390479308	0.8465532485
137	0.8390479308	0.8442246994
138	0.8380761134	0.8416737915
139	0.841562958	0.8393273682
140	0.8410770494	0.8369082388
141	0.8395338394	0.8343479
142	0.8400197481	0.8307445568
143	0.8410245756	0.8282933083
144	0.8405386669	0.8259742988
145	0.8400527582	0.8234026983
146	0.8400857683	0.8203260946
147	0.8411430696	0.8175540931
148	0.8416289783	0.8145125202
149	0.8416619884	0.8119273348
150	0.8421148869	0.8100625497
151	0.8416619884	0.8071427864
152	0.8421478971	0.8059210047
153	0.8426007956	0.8039321779
154	0.8421148869	0.8018676377
155	0.8421148869	0.8003549304
156	0.8416619884	0.7980245436
157	0.8421478971	0.7954128854
158	0.8430867043	0.7927266786
159	0.8440585216	0.790456507
160	0.8431197144	0.7877675392
161	0.8431197144	0.7851937252
162	0.8431197144	0.7828403192
163	0.8431197144	0.7807564985
164	0.8431527245	0.778564358
165	0.8426338057	0.7764220377
166	0.8446629243	0.7739520137
167	0.8455357113	0.7719321477
168	0.8446299142	0.7697006201
169	0.84602162	0.7677763495
170	0.8450498026	0.7654590355
171	0.8465075286	0.7631344344
172	0.84602162	0.7613413682
173	0.8465405388	0.7594396992
174	0.8465075286	0.7571096619
175	0.8465075286	0.7547181824
176	0.8495939485	0.7524658405
177	0.8475648299	0.7500474373
178	0.8485366472	0.747859982
179	0.8490225559	0.7456963723
180	0.8489895458	0.743652932
181	0.8485366472	0.7418233245
182	0.8469934373	0.7399033001
183	0.8480837487	0.7380335414
184	0.8485036371	0.7356744417
185	0.8485366472	0.7336031799
186	0.8480507386	0.7316462972
187	0.8480177284	0.7296129417
188	0.8489895458	0.727390065
189	0.8485036371	0.7253467503
190	0.8540400507	0.7228924086
191	0.8540400507	0.7212441787
192	0.8540400507	0.7190977234
193	0.8540400507	0.7173305162
194	0.8560691693	0.7152441255
195	0.856555078	0.713460779
