iter	Passed	Remaining
0	77	92901
1	189	113422
2	285	113835
3	393	117540
4	517	123569
5	619	123307
6	709	120900
7	819	122124
8	917	121415
9	1016	121019
10	1110	119981
11	1184	117284
12	1255	114679
13	1328	112505
14	1400	110606
15	1473	109049
16	1547	107702
17	1616	106151
18	1686	104826
19	1757	103671
20	1829	102711
21	1897	101621
22	1968	100715
23	2036	99810
24	2107	99060
25	2178	98384
26	2247	97620
27	2315	96912
28	2511	101397
29	2649	103345
30	2773	104603
31	2895	105694
32	3076	108795
33	3339	114514
34	3482	115914
35	3762	121660
36	3933	123640
37	4073	124550
38	4270	127143
39	4426	128362
40	4583	129581
41	4707	129805
42	4873	131119
43	5019	131868
44	5136	131842
45	5235	131334
46	5383	132061
47	5539	132946
48	5660	132975
49	5802	133460
50	5917	133315
51	6056	133714
52	6175	133646
53	6341	134585
54	6467	134641
55	6564	134112
56	6647	133300
57	6731	132532
58	6811	131718
59	6886	130845
60	7186	134178
61	7277	133578
62	7381	133226
63	7483	132823
64	7582	132410
65	7686	132062
66	7771	131426
67	7870	131014
68	8016	131404
69	8107	130870
70	8335	132552
71	8448	132356
72	8536	131786
73	8642	131509
74	8745	131178
75	8843	130786
76	8931	130265
77	9039	130032
78	9137	129665
79	9233	129268
80	9449	130541
81	9542	130100
82	9640	129736
83	9737	129371
84	9833	128997
85	9941	128773
86	10047	128539
87	10149	128252
88	10253	127992
89	10349	127642
90	10456	127432
91	10708	128972
92	10810	128680
93	10909	128358
94	11006	128020
95	11105	127711
96	11202	127386
97	11303	127108
98	11412	126917
99	11507	126577
100	11645	126715
101	11833	127387
102	11930	127068
103	12039	126879
104	12139	126598
105	12240	126335
106	12337	126029
107	12435	125733
108	12483	124953
109	12582	124679
110	12691	124509
111	12779	124140
112	12846	123573
113	13034	124169
114	13161	124174
115	13259	123908
116	13324	123336
117	13463	123450
118	13581	123376
119	13681	123131
120	13778	122867
121	13880	122648
122	13972	122341
123	14150	122788
124	14286	122859
125	14381	122582
126	14473	122287
127	14572	122043
128	14670	121795
129	14766	121539
130	14852	121201
131	14950	120963
132	15049	120731
133	15278	121547
134	15374	121291
135	15474	121062
136	15570	120814
137	15677	120645
138	15812	120698
139	15914	120492
140	16014	120277
141	16114	120062
142	16303	120505
143	16426	120461
144	16529	120265
145	16629	120051
146	16714	119731
147	16809	119484
148	16905	119245
149	17007	119050
150	17096	118772
151	17265	119039
152	17404	119098
153	17497	118844
154	17587	118573
155	17669	118247
156	17770	118057
157	17867	117835
158	17968	117643
159	18056	117364
160	18150	117130
161	18384	117798
162	18503	117718
163	18598	117486
164	18708	117353
165	18808	117158
166	18898	116897
167	18997	116696
168	19098	116511
169	19197	116314
170	19393	116699
171	19493	116508
172	19586	116274
173	19681	116052
174	19788	115906
175	19925	115932
176	20038	115813
177	20125	115549
178	20285	115707
179	20403	115618
180	20602	115987
181	20773	116194
182	20890	116097
183	20985	115878
184	21171	116156
185	21304	116142
186	21414	116004
187	21534	115917
188	21663	115883
189	21771	115730
190	21962	116020
191	22059	115812
192	22153	115590
193	22240	115331
194	22338	115127
195	22436	114927
196	22531	114717
197	22622	114485
198	22715	114261
199	22812	114062
200	22892	113781
201	23084	114051
202	23199	113941
203	23289	113709
204	23386	113509
205	23502	113406
206	23599	113210
207	23705	113054
208	23803	112868
209	23906	112700
210	24012	112551
211	24126	112436
212	24234	112298
213	24443	112623
214	24542	112439
215	24637	112239
216	24729	112021
217	24832	111860
218	24938	111710
219	25033	111511
220	25125	111301
221	25209	111059
222	25382	111206
223	25520	111198
224	25614	110996
225	25708	110798
226	25790	110545
227	25887	110364
228	25984	110179
229	26079	109987
230	26175	109799
231	26274	109626
232	26489	109938
233	26596	109797
234	26694	109616
235	26787	109419
236	26902	109311
237	27030	109257
238	27127	109078
239	27224	108898
240	27321	108717
241	27415	108528
242	27630	108815
243	27712	108577
244	27779	108282
245	27869	108080
246	27972	107925
247	28068	107746
248	28165	107569
249	28263	107401
250	28366	107249
251	28463	107077
252	28549	106864
253	28642	106675
254	28742	106515
255	28939	106715
256	29054	106608
257	29154	106447
258	29245	106254
259	29365	106166
260	29477	106050
261	29575	105885
262	29672	105714
263	29765	105531
264	29942	105645
265	30066	105572
266	30160	105392
267	30264	105249
268	30363	105088
269	30452	104890
270	30545	104712
271	30639	104533
272	30731	104350
273	30955	104617
274	31154	104794
275	31293	104765
276	31406	104648
277	31524	104552
278	31674	104561
279	31846	104638
280	31976	104578
281	32092	104471
282	32245	104485
283	32435	104616
284	32568	104563
285	32700	104505
286	32821	104411
287	32942	104316
288	33072	104251
289	33174	104098
290	33309	104048
291	33424	103935
292	33530	103794
293	33738	103968
294	33927	104082
295	34032	103936
296	34142	103806
297	34247	103662
298	34375	103585
299	34489	103467
300	34603	103351
301	34722	103246
302	34832	103118
303	35081	103398
304	35232	103386
305	35332	103226
306	35471	103179
307	35592	103079
308	35720	103000
309	35829	102866
310	35921	102682
311	36037	102568
312	36135	102403
313	36238	102252
314	36375	102196
315	36631	102476
316	36754	102379
317	36883	102300
318	36976	102121
319	37063	101923
320	37175	101798
321	37284	101662
322	37379	101491
323	37476	101325
324	37559	101121
325	37667	100985
326	37943	101299
327	38040	101132
328	38162	101032
329	38260	100868
330	38361	100712
331	38471	100582
332	38637	100597
333	38730	100420
334	38833	100272
335	39071	100469
336	39238	100484
337	39354	100365
338	39485	100285
339	39596	100156
340	39728	100078
341	39834	99934
342	39948	99813
343	40058	99679
344	40168	99547
345	40271	99397
346	40432	99390
347	40581	99353
348	40792	99469
349	41009	99594
350	41146	99525
351	41272	99430
352	41449	99456
353	41624	99476
354	41941	99832
355	42278	100233
356	42406	100135
357	42579	100144
358	42735	100111
359	42873	100038
360	42996	99927
361	43142	99871
362	43261	99751
363	43528	99971
364	43743	100071
365	43880	99990
366	44012	99897
367	44138	99791
368	44271	99700
369	44487	99795
370	44705	99894
371	44911	99964
